Book,Link,Year,Pages,Rating,Genre,Author Gender
There Are No Children Here,https://www.goodreads.com/book/show/13171246-there-are-no-children-here,1991,337,4.30,Non-fiction,M
Ask Me Why I Hurt,https://www.goodreads.com/book/show/8754849-ask-me-why-i-hurt?from_search=true&from_srp=true&qid=wmyKMVlkOz&rank=1,2011,290,4.29,Non-fiction,M
Sourdough,https://www.goodreads.com/book/show/34729689-sourdough,2017,272,3.76,Fiction,M
The Island of Dr. Moreau,https://www.goodreads.com/book/show/6265974-the-island-of-dr-moreau,1896,124,3.73,Fiction,M
Yellow Crocus,https://www.goodreads.com/book/show/22319275-yellow-crocus?ref=nav_sb_noss_l_13,2010,253,4.32,Fiction,F
The Haunting of Tram Car 015,https://www.goodreads.com/book/show/36558166-the-haunting-of-tram-car-015,2019,96,3.99,Fiction,M
Binti,https://www.goodreads.com/book/show/25762847-binti,2015,96,3.87,Fiction,F
The Picture of Dorian Gray,https://www.goodreads.com/book/show/15845322-the-picture-of-dorian-gray,1890,175,4.12,Fiction,M
The Color Purple,https://www.goodreads.com/book/show/40235399-the-color-purple,1982,302,4.26,Fiction,F
Consider the Lobster,https://www.goodreads.com/book/show/8192659-consider-the-lobster-and-other-essays,2005,505,4.18,Non-fiction,M
Animal Farm,https://www.goodreads.com/book/show/170448.Animal_Farm?from_search=true&from_srp=true&qid=RQfVNehdKZ&rank=1,1945,128,3.98,Fiction,M
Paris for One,https://www.goodreads.com/book/show/24581663-paris-for-one,2015,112,3.56,Fiction,F
The City We Became,https://www.goodreads.com/book/show/43558961-the-city-we-became,2020,481,3.88,Fiction,F
Long Bright River,https://www.goodreads.com/book/show/51046755-long-bright-river,2020,492,4.04,Fiction,F
Fun Home,https://www.goodreads.com/book/show/44445851-fun-home,2006,232,4.08,Non-fiction,F
All Who Go Do Not Return,https://www.goodreads.com/book/show/25068451-all-who-go-do-not-return,2015,371,4.28,Non-fiction,M
I Wanna Be Where the Normal People Are,https://www.goodreads.com/book/show/53855937-i-want-to-be-where-the-normal-people-are,2020,256,3.98,Non-fiction,F
The Three-body Problem,https://www.goodreads.com/book/show/18245960-the-three-body-problem,2006,400,4.09,Fiction,M
The Very Nice Box,https://www.goodreads.com/book/show/60741135-the-very-nice-box,2021,342,3.78,Fiction,F
Parable of the Sower,https://www.goodreads.com/book/show/15769897-parable-of-the-sower,1993,330,4.21,Fiction,F
E.,https://www.goodreads.com/book/show/54848595-the-push,2021,317,4.07,Fiction,M
The Push,https://www.goodreads.com/book/show/22560441-e,2000,351,4.06,Fiction,F
A Pleasure to Burn,https://www.goodreads.com/book/show/19433235-a-pleasure-to-burn,2007,403,3.93,Fiction,M
Transcendent Kingdom,https://www.goodreads.com/book/show/48570468-transcendent-kingdom,2020,288,4.12,Fiction,F
Cemetery Boys,https://www.goodreads.com/book/show/52359739-cemetery-boys,2020,350,4.29,Fiction,N
Unfollow,https://www.goodreads.com/book/show/44658832-unfollow,2019,305,4.16,Non-fiction,F
Cat's Cradle,https://www.goodreads.com/book/show/35042171-cat-s-cradle,1963,306,4.16,Fiction,M
Bring the War Home,https://www.goodreads.com/book/show/39787023-bring-the-war-home,2018,339,4.22,Non-fiction,F
Blink,https://www.goodreads.com/book/show/6259977-blink,2005,482,3.96,Non-fiction,M
Bewilderment,https://www.goodreads.com/book/show/57621073-bewilderment,2021,288,3.93,Fiction,M
Gwendy's Button Box,https://www.goodreads.com/book/show/34430916-gwendy-s-button-box,2017,175,3.93,Fiction,M
Between Two Fires,https://www.goodreads.com/book/show/53177097-between-two-fires,2012,438,4.26,Fiction,M
Build Your House Around my Body,https://www.goodreads.com/book/show/56960455-build-your-house-around-my-body,2021,400,3.83,Fiction,F
Axiom's End,https://www.goodreads.com/book/show/52848072-axiom-s-end,2020,371,3.73,Fiction,F
Guilty Pleasures,https://www.goodreads.com/book/show/9467653-guilty-pleasures,1993,332,4.02,Fiction,F
Darkroom,https://www.goodreads.com/book/show/22347446-darkroom,2012,266,4.03,Non-fiction,F
"Nine Nasty Words: English in the Gutter â€” Then, Now, and Forever",https://www.goodreads.com/book/show/55252533-nine-nasty-words,2021,286,3.95,Non-fiction,M
Everyone in My Family Has Killed Someone,https://www.goodreads.com/book/show/60669112-everyone-in-my-family-has-killed-someone,2022,384,3.81,Fiction,M
The Measure,https://www.goodreads.com/book/show/56898742-the-measure,2022,348,4.01,Fiction,F
This Is How You Lose the Time War,https://www.goodreads.com/book/show/43352954-this-is-how-you-lose-the-time-war,2019,209,3.93,Fiction,FM
An Indigenous Peoples' History of the United States,https://www.goodreads.com/book/show/23266773-an-indigenous-peoples-history-of-the-united-states,2014,218,4.37,Non-fiction,F
Disappearing Earth,https://www.goodreads.com/book/show/43175254-disappearing-earth,2019,272,3.85,Fiction,F
Never Have I Ever,https://www.goodreads.com/book/show/53208061-never-have-i-ever,2021,318,3.99,Fiction,F
Klara and the Sun,https://www.goodreads.com/book/show/54120408-klara-and-the-sun,2021,418,3.74,Fiction,M
The Diving Bell and the Butterfly,https://www.goodreads.com/book/show/193755.The_Diving_Bell_and_the_Butterfly,1997,146,3.98,Non-fiction,M
The Stranger in the Woods,https://www.goodreads.com/book/show/30687200-the-stranger-in-the-woods,2017,225,3.90,Non-fiction,M
"Tomorrow, and Tomorrow, and Tomorrow",https://www.goodreads.com/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow,2022,418,4.14,Fiction,F
The Song of Achilles,https://www.goodreads.com/book/show/13623848-the-song-of-achilles,2011,351,4.32,Fiction,F
The Long Walk,https://www.goodreads.com/book/show/9014.The_Long_Walk,1978,321,4.07,Fiction,M
Dangers of Smoking in Bed,https://www.goodreads.com/book/show/53215250-the-dangers-of-smoking-in-bed,2009,208,3.81,Fiction,F
The Man who Mistook his Wife for a Hat,https://www.goodreads.com/book/show/63697.The_Man_Who_Mistook_His_Wife_for_a_Hat_and_Other_Clinical_Tales,1985,233,4.05,Non-fiction,M
"The Best Minds: A Story of Friendship, Madness, and the Tragedy of Good Intentions",https://www.goodreads.com/book/show/61724281-the-best-minds,2023,575,4.05,Non-fiction,M
White Trash: The 400-Year Untold History of Class in America ,https://www.goodreads.com/book/show/27209433-white-trash,2016,494,3.76,Non-fiction,F